0,0.3956
1,0.376
2,0.3652
3,0.3608
4,0.3556
5,0.3576
6,0.3588
7,0.3576
8,0.358
9,0.3612
10,0.3564
11,0.358
12,0.3564
13,0.3568
14,0.3552
15,0.3544
16,0.3524
17,0.356
18,0.3536
19,0.354
20,0.3524
21,0.3532
22,0.3504
23,0.3512
24,0.3532
25,0.3512
26,0.3524
27,0.35
28,0.352
29,0.3568
30,0.3528
31,0.3556
32,0.3536
33,0.3556
34,0.3556
35,0.3552
36,0.3572
37,0.3552
38,0.3516
39,0.354
40,0.352
41,0.3528
42,0.3524
43,0.35
44,0.3476
45,0.35
46,0.3496
47,0.3528
48,0.3504
49,0.3516
50,0.3512
51,0.3492
52,0.3484
53,0.3472
54,0.3504
55,0.3532
56,0.3516
57,0.3524
58,0.3516
59,0.35
60,0.3504
61,0.3496
62,0.3468
63,0.344
64,0.3484
65,0.348
66,0.3476
67,0.3488
68,0.3468
69,0.346
70,0.3464
71,0.346
72,0.346
73,0.3464
74,0.3424
75,0.344
76,0.3424
77,0.3456
78,0.3416
79,0.3448
80,0.348
81,0.3452
82,0.3428
83,0.3376
84,0.3396
85,0.3368
86,0.3364
87,0.3364
88,0.3376
89,0.3396
90,0.3388
91,0.3364
92,0.3412
93,0.3416
94,0.3436
95,0.3428
96,0.3432
97,0.3412
98,0.3384
99,0.3356
100,0.3344
101,0.338
102,0.3376
103,0.3368
104,0.3396
105,0.336
106,0.3352
107,0.3344
108,0.3332
109,0.3344
110,0.3384
111,0.3368
112,0.3352
113,0.3324
114,0.3364
115,0.3316
116,0.3324
117,0.3348
118,0.3332
119,0.3372
120,0.3324
121,0.332
122,0.3296
123,0.3308
124,0.33
125,0.3292
126,0.3292
127,0.3296
128,0.332
129,0.3296
130,0.3276
131,0.3308
132,0.3308
133,0.33
134,0.3304
135,0.3304
136,0.3256
137,0.3272
138,0.3252
139,0.3276
140,0.3308
141,0.334
142,0.3308
143,0.3308
144,0.3272
145,0.3292
146,0.328
147,0.3268
148,0.3228
149,0.3216
150,0.3216
151,0.3192
152,0.32
153,0.3212
154,0.3192
155,0.316
156,0.3184
157,0.3196
158,0.3216
159,0.3224
160,0.3212
161,0.3216
162,0.3248
163,0.3236
164,0.3232
165,0.3256
166,0.3228
167,0.32
