N	M	Time(ms) Std_dev
1000	1	22.654718000000003	1.9815908617764668
1000	2	7.968799999999999	0.25528548450705146
1000	3	5.167168999999999	0.21857039126789343
1000	4	4.148069000000001	0.2071682575565089
1000	8	3.1426089999999998	0.14326052498507744
1000	12	3.0053119999999995	0.12805441911937285
1000	16	3.1094250000000003	0.2658949485699193
1000	20	3.229275999999999	0.2487812975768074
1000	24	3.4278359999999997	0.29450991783639463
